label,name,index_reference,index_bibcode,CH4-J,CH4-J_err,CH4-H,CH4-H_err,CH4-K,CH4-K_err,H2O-J,H2O-J_err,H2O-H,H2O-H_err,H2O-K,H2O-K_err,K/J,K/J_err,H-dip,H-dip_err
Late-L,2MASS J00150206+2959323,burgasser2006,2006ApJ...637.1067B,0.7478947813007056,0.006988086359391821,1.0362360129097612,0.012652886062510553,0.9217199180981865,0.008788521944052392,0.7678171801532544,0.009251596219074808,0.7337124052481999,0.009974479130277002,0.7739100731627755,0.009101256488167345,0.5902378953724894,0.00626895083562064,0.9801644013692371,0.009676930131267912
L/T transition,SDSSp J083717.22-000018.3,burgasser2006,2006ApJ...637.1067B,0.6159327605739049,0.017235552904466784,0.9768820383411406,0.029525133711106155,0.7537551002222961,0.032057802017105286,0.5729223522707001,0.020268167587489568,0.5604698065406853,0.028730069099140394,0.6077512203730364,0.029088665093610203,0.40041561198071113,0.015174325489419665,1.0092032828935356,0.03202513801931256
Early-T,WISE J045746.08-020719.2,burgasser2006,2006ApJ...637.1067B,0.5408218805888498,0.0012440839363069502,0.8153337200971188,0.0027245301261235016,0.5122193793119648,0.003265591372443684,0.46272746533005255,0.001567623105938138,0.5036900320625153,0.0026704762871747004,0.6053772695670087,0.004001542478601779,0.30252190851673794,0.0011626650411373286,0.9487523601711576,0.0032959688365578007
Mid-T,2MASS J05591914-1404488,burgasser2006,2006ApJ...637.1067B,0.44301620383899937,0.002388427055097137,0.47557314701294323,0.005450661774752431,0.23851937435592765,0.007522986859210416,0.3433843904884239,0.0033048267661187868,0.40048591986956555,0.00676608972249184,0.4935212199863443,0.008916914436493001,0.18779942186205242,0.0013715335502392915,0.7398403493239518,0.009971064017416742
